AUSTRALIA	AUSTRIA	BELGIUM	CANADA	DENMARK	FINLAND	FRANCE	GERMANY	HONG KONG	IRELAND	ISRAEL	ITALY	JAPAN	NETHERLANDS	NEW ZEALAND	NORWAY	PORTUGAL	SINGAPORE	SPAIN	SWEDEN	SWITZERLAND	UNITED KINGDOM	USA	BRAZIL	CHILE	CHINA	COLOMBIA	CZECH REPUBLIC	EGYPT	GREECE	HUNGARY	INDIA	INDONESIA	KOREA	MALAYSIA	MEXICO	PERU	PHILIPPINES	POLAND	RUSSIA	SOUTH AFRICA	TAIWAN	THAILAND	TURKEY	ARGENTINA	JORDAN	MOROCCO	PAKISTAN	BAHRAIN	KUWAIT	OMAN	QATAR	UNITED ARAB EMIRATES
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4321.754	2913.901	8362.56	4617.408	9418.429	1011.795	5522.633	1800.245	33751.496	689.993	387.916	3581.523	1778.131	5613.568	320.424	7335.641	293.871	2930.05	6947.251	23370.742	2300.652	7661.836	3965.355	33010.863	6197.638	45.181	2767.317	526.676	2785.434	2715.893	1792.859	505.809	2820.173	513.865	503.156	27727.641	1459.589	571.201	2365.285	1119.409	814.486	361.428	502.945	1533985.75	19868656	1108.926	409.457	832.526	NA	NA	NA	NA	NA
4318.039	2909.136	8354.599	4515.786	9282.193	1006.807	5521.447	1801.607	33785.879	683.503	384.177	3569.766	1776.388	5634.974	318.746	7206.708	308.785	2937.925	6944.333	23148.76	2299.863	7624.997	3932.517	32135.766	6173.487	45.536	2642.899	526.627	2784.219	2728.025	1809.171	511.05	2855.62	510.515	499.301	27567.313	1398.949	561.557	2376.48	1115.863	812.064	360.914	501.705	1530035.125	19265416	1126.444	421.472	844.075	1062.554	967.112	962.834	915.311	826.464
4247.9	2881.623	8337.816	4482.712	9297.49	1009.734	5477.611	1799.362	33571.008	677.572	382.872	3570.292	1732.059	5650.835	315.532	7150.999	310.346	2912.857	6965.67	23213.895	2297.867	7614.032	3966.695	31938.895	6180.385	44.568	2602.108	522.385	2799.962	2606.719	1806.611	508.883	2784.245	501.079	496.911	27375.273	1383.313	551.872	2360.611	1121.717	792.957	355.245	495.117	1500645	19806382	1121.523	422.295	844.075	1062.554	962.181	947.757	905.377	803.113
4286.992	2918.33	8427.685	4472.39	9305.586	1019.202	5548.706	1824.12	33654.199	684.477	385.121	3606.134	1745.551	5721.858	315.973	7221.654	309.685	2921.784	7057.717	23484.432	2310.748	7725.368	3960.07	32221.688	6239.347	44.526	2730.411	518.184	2839.835	2536.941	1842.72	508.883	2810.343	506.565	498.521	27415.383	1408.821	559.131	2365.047	1141.241	807.606	356.468	495.764	1510117.5	19748228	1124.794	427.951	844.075	1062.554	962.181	948.1	906.17	807.175
4284.596	2912.727	8402.058	4454.378	9238.264	1012.774	5498.331	1814.091	33622.813	683.669	385.188	3573.896	1723.658	5703.75	314.715	7215.831	310.706	2908.739	7038.312	23314.791	2307.886	7665.731	3970.084	32111.852	6246.072	44.759	2836.95	512.834	2826.179	2536.941	1829.081	512.098	2816.901	511.081	497.367	27106.955	1365.374	558.279	2330.576	1131.713	807.253	354.529	497.673	1535168	19654056	1124.794	429.907	858.024	1062.554	962.181	948.1	906.17	807.175
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4231.162	2886.729	8400.744	4413.201	9321.058	1014.909	5550.822	1830.433	33481.477	685.801	389.001	3596.992	1685.864	5745.569	314.792	7118.42	311.36	2916.626	7088.957	23470.846	2315.314	7701.152	3954.548	31458.209	6230.914	44.584	2873.565	517.501	2789.051	2431.304	1821.464	515.431	2813.816	504.434	499.316	26510.635	1342.152	559.298	2321.301	1134.589	785.758	352.583	497.673	1509811.875	19149430	1105.357	423.394	873.335	1044.765	963.579	940.124	887.264	758.315
4274.201	2851.123	8380.164	4453.051	9325.236	1029.44	5553.412	1832.008	33699.129	687.723	385.598	3591.772	1706.397	5764.894	314.159	7027.704	312.536	2936.311	7092.835	23571.885	2313.401	7699.275	3993.814	31636.436	6188.296	45.276	2833.084	513.389	2766.513	2493.932	1795.179	511.849	2747.296	505.645	500.74	26692.02	1369.889	553.991	2335.093	1128.872	767.878	354.592	489.542	1489307.625	19131784	1088.34	406.961	850.316	1030.646	962.538	938.178	859.614	726.229
4246.68	2860.169	8387.825	4426.108	9284.926	1045.108	5526.732	1832.454	33707.59	692.616	384.341	3596.845	1694.024	5767.095	311.711	7152.387	313.88	2915.355	7076.221	23636.572	2287.26	7702.175	4008.842	32091.943	6164.549	45.341	2846.947	514.756	2765.072	2416.342	1799.31	511.512	2764.68	496.086	501.095	26982.979	1345.532	554.122	2346.341	1134.931	767.12	353.372	486.441	1503036	18898458	1074.68	411.501	878.831	1006.486	953.077	927.09	829.425	729.217
4234.939	2912.056	8422.218	4477.925	9342.591	1053.277	5562.908	1840.358	33774.102	698.427	385.618	3621.667	1707.242	5791.423	309.025	7190.918	314.972	2925.263	7121.423	23852.076	2317.555	7751.399	4039.152	33141.008	6146.275	44.809	2848.968	517.953	2796.858	2299.275	1794.594	512.199	2762.818	500.812	501.844	27427.525	1341.755	555.276	2307.265	1141.116	765.79	359.125	493.789	1554275.375	19361834	1085.522	413.3	864.272	1009.979	953.077	931.378	865.192	788.297
4214.656	2921.841	8442.941	4500.771	9367.069	1054.419	5590.137	1843.463	33731.293	701.845	385.505	3636.874	1682.793	5813.65	312.808	7275.396	315.352	2921.261	7145.876	23808.74	2319.893	7771.026	4032.122	33313.18	6151.379	45.04	2870.902	523.876	2806.5	2299.275	1893.605	505.53	2780.31	509.582	500.831	27398.865	1376.223	563.051	2389.066	1179.83	793.801	358.251	497.732	1583488.25	19592970	1085.522	416.584	880.32	1009.979	953.077	931.378	865.192	788.297
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4261.753	2962.996	8476.571	4541.957	9378.53	1059.267	5568.758	1843.848	34027.816	706.115	385.694	3655.138	1652.46	5825.507	316.414	7395.493	315.068	2919.643	7170.477	23885.238	2330.459	7790.641	4032.122	33482.805	6141.32	45.859	2906.599	530.594	2829.319	2392.823	1910.33	509.123	2799.431	515.114	500.966	27448.666	1375.477	559.062	2424.973	1212.164	794.672	359.544	496.238	1599108.25	20018964	1035.777	423.537	902.013	1017.777	922.781	963.849	830.454	828.556
4303.286	2971.111	8540.945	4523.17	9429.298	1068.459	5580.442	1845.541	34008.816	706.805	383.124	3665.891	1693.198	5814.992	315.047	7425.615	316.804	2934.877	7237.126	24050.361	2346.084	7784.077	4019.078	33411.77	6192.372	46.148	2913.844	532.906	2853.469	2329.366	1923.758	512.66	2767.504	513.715	500.559	27374.953	1400.586	558.353	2415.213	1198.302	798.241	356.307	488.002	1599692.25	20448190	987.701	427.491	907.337	1021.512	932.589	975.772	812.7	820.977
4315.581	2947.889	8624.986	4514.318	9433.832	1068.935	5627.257	1864.002	33937.699	713.697	383.049	3702.063	1687.792	5844.876	319.365	7374.631	318.041	2913.442	7326.042	24194.447	2357.526	7809.523	4049.102	33313.859	6280.126	46.775	2978.468	526.893	2889.949	2332.741	1914.034	514.427	2750.508	511.372	500.159	27769.232	1412.422	554.58	2404.424	1216.592	802.705	351.339	491.171	1584689	20127290	1029.749	431.47	910.966	1029.207	933.89	980.767	828.445	789.911
4344.393	2966.018	8624.741	4487.692	9413.788	1070.81	5624.93	1862.634	34336.719	718.482	385.608	3691.65	1719.931	5830.044	317.211	7422.667	318.607	2920.944	7318.642	24190.506	2340.586	7763.378	4036.319	33431.203	6341.693	46.848	3016.601	530.106	2906.932	2394.68	1914.835	514.003	2730.531	519.412	502.733	28252.711	1405.952	562.441	2411.248	1218.086	800.669	348.261	492.244	1596326.375	19989442	1000.194	430.023	920.867	1022.98	933.89	975.216	817.932	766.616
4322.967	2956.56	8603.346	4516.134	9462.522	1075.19	5655.548	1867.508	34366.512	718.517	386.114	3704.252	1726.467	5830.901	315.434	7536.953	319.949	2937.863	7345.34	24404.494	2332.41	7794.822	4042.873	33673.723	6386.706	46.423	3019.681	534.857	2921.561	2394.68	1936.707	512.414	2709.577	521.14	501.08	28217.695	1413.645	556.446	2448.856	1219.282	794.247	351.995	498.837	1609840.625	20274270	1000.194	420.884	924.123	1022.98	933.89	975.216	817.932	766.616
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4355.777	2968.314	8637.071	4476.558	9509.576	1075.629	5666.96	1882.186	34551.09	719.962	393.473	3716.697	1741.776	5869.661	314.807	7514.513	320.919	2969.251	7368.403	24541.117	2344.029	7815.349	4059.003	33673.723	6451.228	46.407	2958.459	541.145	2896.795	2418.401	1974.643	517.095	2763.638	525.286	502.862	27911.75	1390.566	560.408	2468.118	1258.592	797.993	353.646	509.29	1641891.625	20308180	964.963	422.702	901.825	1059.491	927.984	941.048	778.446	782.599
4352.585	2906.485	8515.815	4466.297	9382.515	1060.737	5581.944	1844.78	34386.773	714.532	389.591	3656.108	1745.599	5761.816	318.973	7412.323	317.333	2982.894	7307.524	24015.189	2315.053	7706.75	4017.045	33673.723	6386.991	45.948	2984.484	525.234	2909.212	2428.172	1898.139	520.133	2759.229	522.277	504.398	27664.838	1378.381	569.662	2372.986	1195.218	771.489	353.646	501.345	1612029.75	19988836	971.925	421.034	929.311	1049.747	927.757	943.108	779.325	766.894
4290.16	2901.075	8567.631	4510.886	9455.721	1063.125	5647.96	1866.026	34376.039	715.261	394.387	3669.48	1719.001	5788.806	317.738	7497.233	319.203	2983.407	7405.092	24283.191	2340.306	7781.89	4051.272	34081.805	6337.098	45.776	3041.177	531.403	2854.866	2435.555	1920.233	528.785	2788.655	522.277	501.412	28192.736	1402.957	574.853	2410.117	1200.404	771.489	355.363	504.013	1629637.75	20583624	929.127	421.06	930.377	1040.041	922.268	953.849	777.502	759.319
4338.688	2876.751	8502.399	4556.533	9472.145	1067.011	5600.377	1840.725	34542.324	711.935	397.171	3621.62	1717.052	5739.018	318.499	7518.047	318.097	2977.286	7331.503	24326.643	2328.89	7762.533	4045.732	33897.52	6338.961	46.044	3019.83	528.344	2799.568	2386.631	1923.321	530.723	2817.286	521.499	501.394	28191.895	1423.146	575.858	2436.102	1222.439	781.388	357.848	506.427	1608050	21668842	926.163	420.828	916.485	1043.222	922.268	944.241	778.063	763.924
4334.554	2890.333	8432.632	4586.375	9513.616	1062.189	5578.955	1822.481	34468.645	704.659	397.255	3630.671	1696.714	5709.672	318.526	7598.853	317.953	2987.418	7286.957	24461.004	2333.555	7799.98	4039.836	34015.063	6378.162	46.245	2991.234	532.168	2773.461	2386.631	1922.809	529.706	2850.909	506.767	500.315	28303.092	1441.032	572.776	2414.365	1242.253	772.254	352.544	507.342	1589903.375	22096584	926.163	424.911	917.507	1043.222	922.268	944.241	778.063	763.924
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4343.987	2913.336	8485.409	4547.897	9541.306	1071.958	5600.211	1833.208	34416.164	710.197	393.259	3667.159	1711.282	5759.069	320.615	7546.463	322.439	3012.95	7293.712	24563.627	2333.873	7852.213	4011.533	33241.035	6378.831	46.28	2892.48	533.359	2773.461	2321.282	1906.756	545.847	2850.659	512.006	497.526	28075.826	1348.051	576.746	2439.089	1229.877	775.656	353.35	506.222	1573079.875	21813378	849.227	427.534	876.717	1031.387	887.608	940.331	794.927	730.127
4319.261	2861.591	8387.969	4525.312	9464.886	1078.662	5577.343	1827.103	33923.141	707.464	387.662	3656.582	1702.184	5724.606	323.769	7492.038	321.18	2984.898	7262.578	24359.244	2318.065	7804.535	4002.725	32219.697	6290.515	45.072	2793.35	524.115	2709.269	2289.993	1864.64	545.685	2804.213	500.312	498.593	27429.498	1316.67	568.276	2376.2	1158.142	744.434	348.43	497.505	1500523.75	21158856	889.478	430.262	895.243	1036.312	877.604	935.213	828.393	716.371
4314.098	2806.729	8326.524	4491.059	9426.163	1093.622	5550.004	1805.542	33737.473	703.283	386.834	3641.255	1690.081	5665.502	323.269	7411.997	320.902	2994.301	7224.525	24122.162	2308.374	7772.602	4010.009	31988.391	6295.791	44.077	2837.989	515.875	2701.806	2256.402	1809.285	535.557	2776.559	498.513	498.694	27220.379	1304.487	561.43	2315.265	1151.761	746.144	345.413	482.057	1449973.5	21213560	933.327	423.808	855.058	1033.373	860.761	940.003	837.878	725.736
4333.078	2829.741	8368.026	4502.954	9486.039	1112.352	5592.013	1823.709	33792.578	713.655	386.559	3675.009	1724.915	5715.791	324.111	7440.499	321.906	2997.912	7267.576	24293.146	2316.206	7831.76	3989.3	31160.287	6260.491	44.04	2881.681	519.593	2763.432	2257.949	1823.58	538.091	2792.795	496.473	503.58	27163.051	1335.039	565.506	2315.149	1131.608	761.238	347.491	487.221	1458550	20955014	975.26	422.057	869.527	1028.494	860.761	944.47	846.904	713.32
4328.716	2832.324	8458.797	4530.289	9542.519	1114.839	5657.821	1845.985	33740.012	716.512	386.893	3702.679	1730.549	5761.893	326.069	7417.978	323.691	2991.595	7315.831	24291.051	2348.285	7896.533	4017.003	31481.422	6271.882	43.89	2913.88	517.81	2773.396	2257.949	1793.102	548.79	2821.584	499.884	503.813	27293.873	1357.324	563.963	2299.976	1121.093	760.174	347.963	486.948	1447526.75	21281306	975.26	423.175	842.833	1028.494	860.761	944.47	846.904	713.32
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4388.02	2860.553	8523.21	4556.179	9624.08	1121.337	5702.764	1862.338	33966.762	723.782	390.779	3728.277	1758.38	5797.678	328.956	7469.139	328.555	3011.011	7362.722	24436.197	2367.382	7967.959	4025.968	31681.27	6331.205	44.434	2904.452	526.412	2817.505	2169.528	1816.425	551.389	2807.606	508.162	504.464	27722.748	1337.056	569.955	2300.273	1160.873	770.961	350.494	490.561	1508145.625	21467286	969.273	416.852	808.006	1015.735	852.18	936.683	847.865	685.793
